Customer ID,Age,Age Group,Gender,Item Purchased,Category,Purchase Amount (USD),PA Group,Location,Size,Color,Season,Review Rating,Rating Group,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
24,31,Mid Adult,Male,Pants,Clothing,88,High Cost,Oklahoma,XL,White,Winter,4.4,Excellent,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly
25,18,Adult,Male,Jacket,Outerwear,22,Low cost,Florida,M,Green,Fall,2.9,Bad,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,Adult,Male,Hoodie,Clothing,25,Low cost,Texas,M,Silver,Summer,3.6,Good,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually
27,38,Mid Adult,Male,Jewelry,Accessories,20,Low cost,Nevada,M,Red,Spring,3.6,Good,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Mid Aged,Male,Shorts,Clothing,56,Mid Cost,Kentucky,L,Cyan,Summer,5,Excellent,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Mid Aged,Male,Handbag,Accessories,94,High Cost,North Carolina,M,Gray,Fall,4.4,Excellent,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,Mid Adult,Male,Dress,Clothing,48,Mid Cost,Wyoming,S,Black,Fall,4.1,Excellent,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Mid Aged,Male,Jewelry,Accessories,31,Low cost,North Carolina,L,Black,Winter,4.7,Excellent,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Mid Adult,Male,Dress,Clothing,79,High Cost,West Virginia,L,Brown,Winter,4.7,Excellent,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,Mid Adult,Male,Jacket,Outerwear,67,Mid Cost,Kansas,M,Silver,Summer,4.9,Excellent,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Mid Aged,Male,Pants,Clothing,38,Mid Cost,Colorado,L,Green,Summer,3.3,Good,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Mid Adult,Male,T-shirt,Clothing,91,High Cost,North Dakota,L,Violet,Spring,4.6,Excellent,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Mid Aged,Male,Blouse,Clothing,33,Low cost,Massachusetts,M,Cyan,Summer,4,Good,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Mid Adult,Male,T-shirt,Clothing,69,Mid Cost,Illinois,M,Maroon,Winter,4.6,Excellent,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,Mid Adult,Male,Jeans,Clothing,45,Mid Cost,Indiana,S,Cyan,Summer,2.8,Bad,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,Adult,Male,Dress,Clothing,37,Mid Cost,Florida,M,Red,Winter,3.7,Good,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Senior Citizen,Male,Pants,Clothing,60,Mid Cost,Arizona,S,Turquoise,Summer,4.2,Excellent,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Senior Citizen,Male,Handbag,Accessories,76,High Cost,Louisiana,L,Beige,Winter,4.6,Excellent,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Senior Citizen,Male,Scarf,Accessories,39,Mid Cost,Alaska,M,Orange,Spring,4.5,Excellent,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually
43,20,Adult,Male,Coat,Outerwear,100,High Cost,Tennessee,M,Beige,Spring,4.1,Excellent,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,Adult,Male,Scarf,Accessories,69,Mid Cost,Ohio,L,Lavender,Fall,3.7,Good,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,Mid Adult,Male,Hat,Accessories,53,Mid Cost,Kentucky,S,Silver,Summer,4.6,Excellent,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Mid Aged,Male,Socks,Clothing,21,Low cost,Tennessee,XL,Indigo,Fall,2.9,Bad,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,Mid Aged,Male,Shirt,Clothing,43,Mid Cost,California,L,White,Summer,2.9,Bad,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Mid Aged,Male,Jewelry,Accessories,54,Mid Cost,Montana,M,Charcoal,Winter,4.5,Excellent,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Mid Aged,Male,Shirt,Clothing,55,Mid Cost,Nevada,M,Orange,Summer,2.7,Bad,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Senior Citizen,Male,Hoodie,Clothing,30,Low cost,New Jersey,S,Indigo,Spring,4.6,Excellent,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Mid Aged,Male,Blouse,Clothing,28,Low cost,Maryland,M,Red,Spring,3.7,Good,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Mid Aged,Male,Skirt,Clothing,59,Mid Cost,Vermont,XL,Gray,Winter,4.7,Excellent,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Mid Aged,Male,T-shirt,Clothing,20,Low cost,Alaska,M,Green,Summer,2.6,Bad,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Adult,Male,Skirt,Clothing,24,Low cost,Mississippi,S,Peach,Winter,3.9,Good,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Mid Aged,Male,Coat,Outerwear,94,High Cost,New Mexico,M,Brown,Summer,4.2,Excellent,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Mid Adult,Male,Jacket,Outerwear,28,Low cost,South Carolina,M,Lavender,Winter,3,Good,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Mid Aged,Male,Backpack,Accessories,73,High Cost,Mississippi,XL,Brown,Summer,4.7,Excellent,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Adult,Male,Coat,Outerwear,64,Mid Cost,West Virginia,M,White,Summer,4.4,Excellent,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Senior Citizen,Male,Hoodie,Clothing,54,Mid Cost,Missouri,M,Charcoal,Summer,4.2,Excellent,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,Senior Citizen,Male,Belt,Accessories,79,High Cost,Louisiana,L,Yellow,Spring,4.6,Excellent,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Mid Aged,Male,Sweater,Clothing,37,Mid Cost,Idaho,L,Brown,Summer,4,Good,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly
62,55,Mid Aged,Male,Scarf,Accessories,68,Mid Cost,Texas,M,Orange,Winter,4.7,Excellent,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Mid Adult,Male,Sneakers,Footwear,21,Low cost,Mississippi,S,Magenta,Spring,3.8,Good,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Mid Adult,Male,Sunglasses,Accessories,79,High Cost,Arizona,L,Lavender,Winter,2.7,Bad,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Senior Citizen,Male,Boots,Footwear,83,High Cost,Alabama,S,Green,Fall,4.8,Excellent,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Senior Citizen,Male,Backpack,Accessories,36,Mid Cost,New Jersey,M,Purple,Spring,4.8,Excellent,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,Mid Adult,Male,Blouse,Clothing,94,High Cost,Pennsylvania,S,Magenta,Winter,4.7,Excellent,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,Mid Aged,Male,Coat,Outerwear,33,Low cost,Connecticut,L,Gray,Winter,4.4,Excellent,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Mid Aged,Male,Handbag,Accessories,46,Mid Cost,Utah,L,Silver,Summer,3.9,Good,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Mid Aged,Male,Belt,Accessories,70,Mid Cost,Tennessee,S,Cyan,Summer,4.4,Excellent,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly
71,22,Adult,Male,Belt,Accessories,29,Low cost,Alabama,M,Magenta,Fall,4.2,Excellent,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Mid Adult,Male,Dress,Clothing,48,Mid Cost,Virginia,L,Gold,Summer,2.9,Bad,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,Adult,Male,Dress,Clothing,26,Low cost,Georgia,M,Olive,Winter,2.9,Bad,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Mid Aged,Male,Pants,Clothing,85,High Cost,Hawaii,M,Teal,Spring,2.7,Bad,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Mid Aged,Male,Gloves,Accessories,58,Mid Cost,Indiana,L,Violet,Spring,4.5,Excellent,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly
76,64,Senior Citizen,Male,Scarf,Accessories,85,High Cost,Utah,M,Blue,Summer,2.7,Bad,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Mid Aged,Male,Hat,Accessories,43,Mid Cost,Delaware,S,Teal,Summer,4.2,Excellent,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,Adult,Male,Dress,Clothing,53,Mid Cost,Delaware,L,Gold,Summer,3.3,Good,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Mid Aged,Male,Skirt,Clothing,91,High Cost,Nebraska,M,Maroon,Spring,4.7,Excellent,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,Mid Adult,Male,Jacket,Outerwear,96,High Cost,Iowa,M,Olive,Winter,2.6,Bad,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Adult,Male,Sandals,Footwear,72,High Cost,New York,XL,Blue,Summer,3.3,Good,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Senior Citizen,Male,Shoes,Footwear,96,High Cost,Virginia,L,Maroon,Summer,2.6,Bad,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Adult,Male,Pants,Clothing,28,Low cost,Georgia,S,Olive,Spring,4,Good,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Mid Adult,Male,Dress,Clothing,40,Mid Cost,Texas,M,Turquoise,Summer,4.1,Excellent,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Mid Aged,Male,Coat,Outerwear,32,Low cost,Arizona,S,Peach,Spring,4.4,Excellent,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Mid Aged,Male,Sunglasses,Accessories,95,High Cost,New Mexico,M,Charcoal,Winter,4.5,Excellent,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Adult,Male,Hoodie,Clothing,41,Mid Cost,Nevada,L,Pink,Spring,3.7,Good,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Mid Aged,Male,Shoes,Footwear,53,Mid Cost,Ohio,M,Green,Fall,3.7,Good,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Mid Adult,Male,T-shirt,Clothing,47,Mid Cost,Wyoming,M,Orange,Fall,3.5,Good,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Mid Aged,Male,Jacket,Outerwear,83,High Cost,California,XL,Pink,Fall,3.6,Good,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Adult,Male,Hat,Accessories,48,Mid Cost,South Carolina,L,Violet,Summer,2.9,Bad,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Mid Aged,Male,Scarf,Accessories,99,High Cost,South Carolina,S,Green,Winter,4.6,Excellent,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Senior Citizen,Male,Jacket,Outerwear,87,High Cost,Texas,M,Olive,Winter,4.4,Excellent,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,Mid Adult,Male,Sweater,Clothing,62,Mid Cost,Florida,M,Purple,Fall,4.5,Excellent,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Mid Aged,Male,Skirt,Clothing,76,High Cost,Nevada,S,Silver,Spring,4.6,Excellent,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Mid Adult,Male,Sneakers,Footwear,100,High Cost,Missouri,L,Pink,Fall,3.8,Good,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,Mid Adult,Male,Gloves,Accessories,73,High Cost,Delaware,S,Gold,Spring,3.6,Good,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,Adult,Male,Shoes,Footwear,92,High Cost,Virginia,M,Teal,Winter,4.8,Excellent,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Adult,Male,Jeans,Clothing,67,Mid Cost,New York,XL,Teal,Spring,2.6,Bad,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Adult,Male,Hoodie,Clothing,40,Mid Cost,Missouri,XL,Indigo,Summer,3.7,Good,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Senior Citizen,Male,Sunglasses,Accessories,98,High Cost,South Dakota,M,Maroon,Fall,2.7,Bad,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Adult,Male,Coat,Outerwear,85,High Cost,North Dakota,XL,White,Spring,4.6,Excellent,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Mid Aged,Male,Socks,Clothing,67,Mid Cost,Oklahoma,L,Violet,Winter,4.8,Excellent,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Mid Aged,Male,Boots,Footwear,89,High Cost,West Virginia,L,Red,Winter,4,Good,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Mid Aged,Male,Sunglasses,Accessories,24,Low cost,New Hampshire,L,Pink,Spring,4.4,Excellent,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,Senior Citizen,Male,Backpack,Accessories,96,High Cost,New York,M,Charcoal,Fall,3.6,Good,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Senior Citizen,Male,Jacket,Outerwear,35,Mid Cost,Minnesota,L,White,Summer,3.7,Good,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Adult,Male,Sneakers,Footwear,67,Mid Cost,Maryland,L,Olive,Winter,3.1,Good,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,Senior Citizen,Male,Socks,Clothing,79,High Cost,Montana,L,Purple,Spring,3.4,Good,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Mid Aged,Male,T-shirt,Clothing,85,High Cost,Alabama,M,Violet,Spring,2.6,Bad,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Mid Aged,Male,Backpack,Accessories,26,Low cost,New York,M,Black,Summer,4,Good,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,Adult,Male,Belt,Accessories,75,High Cost,Massachusetts,L,Purple,Summer,5,Excellent,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Mid Adult,Male,Gloves,Accessories,65,Mid Cost,Florida,M,Red,Spring,4.3,Excellent,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,Mid Aged,Male,Hat,Accessories,54,Mid Cost,New Jersey,L,Maroon,Winter,3.1,Good,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,Senior Citizen,Male,Coat,Outerwear,95,High Cost,Massachusetts,S,Blue,Summer,3.7,Good,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Mid Aged,Male,Skirt,Clothing,94,High Cost,Wyoming,M,Gray,Spring,3.8,Good,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Mid Aged,Male,Shoes,Footwear,86,High Cost,Virginia,S,Blue,Spring,3.4,Good,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,Mid Aged,Male,Sandals,Footwear,32,Low cost,South Dakota,L,Yellow,Summer,4.6,Excellent,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Mid Aged,Male,Sweater,Clothing,45,Mid Cost,Kentucky,L,Orange,Fall,4.8,Excellent,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Mid Adult,Male,Coat,Outerwear,76,High Cost,Wyoming,M,Orange,Fall,4.3,Excellent,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually
121,64,Senior Citizen,Male,Hat,Accessories,84,High Cost,West Virginia,L,Red,Summer,4,Good,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Adult,Male,Shorts,Clothing,72,High Cost,Virginia,M,Olive,Winter,4.2,Excellent,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Mid Adult,Male,Backpack,Accessories,40,Mid Cost,Washington,L,Brown,Spring,4.8,Excellent,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Mid Aged,Male,Sweater,Clothing,89,High Cost,Louisiana,L,Brown,Fall,3.1,Good,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Mid Aged,Male,Sweater,Clothing,86,High Cost,Nevada,M,Gray,Spring,3.1,Good,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,Mid Aged,Male,Shorts,Clothing,54,Mid Cost,California,M,Indigo,Winter,3.6,Good,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,Mid Aged,Male,Shorts,Clothing,36,Mid Cost,Mississippi,L,Pink,Spring,3.9,Good,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Adult,Male,Sweater,Clothing,89,High Cost,Mississippi,M,Gray,Winter,4.8,Excellent,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Adult,Male,Scarf,Accessories,32,Low cost,California,M,Gold,Spring,4.7,Excellent,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Adult,Male,Dress,Clothing,67,Mid Cost,Pennsylvania,XL,Olive,Summer,4.2,Excellent,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,Mid Aged,Male,Scarf,Accessories,39,Mid Cost,Kentucky,L,Violet,Fall,3.7,Good,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,Adult,Male,Skirt,Clothing,29,Low cost,Maine,L,Indigo,Summer,3.9,Good,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Mid Adult,Male,Backpack,Accessories,58,Mid Cost,New Mexico,M,Orange,Fall,4.7,Excellent,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,Mid Aged,Male,Sweater,Clothing,65,Mid Cost,Montana,M,Violet,Winter,2.5,Bad,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,Mid Aged,Male,Hat,Accessories,94,High Cost,Texas,L,Gray,Fall,4.9,Excellent,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Mid Aged,Male,Sandals,Footwear,81,High Cost,Kansas,M,Purple,Fall,4.1,Excellent,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly
137,39,Mid Adult,Male,Blouse,Clothing,86,High Cost,South Carolina,M,White,Winter,3.3,Good,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Senior Citizen,Male,Sneakers,Footwear,43,Mid Cost,Colorado,M,Turquoise,Spring,4.7,Excellent,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,Senior Citizen,Male,Skirt,Clothing,29,Low cost,Georgia,M,Maroon,Winter,4.4,Excellent,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Mid Aged,Male,Coat,Outerwear,95,High Cost,Florida,M,White,Fall,3.8,Good,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,Senior Citizen,Male,Shirt,Clothing,28,Low cost,North Carolina,L,Yellow,Fall,3.9,Good,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Mid Aged,Male,Gloves,Accessories,46,Mid Cost,Virginia,M,Turquoise,Fall,4.9,Excellent,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,Mid Adult,Male,Jacket,Outerwear,58,Mid Cost,Nebraska,L,Violet,Fall,3.1,Good,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Mid Adult,Male,Coat,Outerwear,48,Mid Cost,Missouri,M,Beige,Fall,2.7,Bad,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,Adult,Male,Shoes,Footwear,43,Mid Cost,New Jersey,M,Silver,Fall,3.2,Good,Yes,Credit Card,Express,Yes,Yes,25,Cash,Monthly
146,24,Adult,Male,Jewelry,Accessories,95,High Cost,Missouri,M,Teal,Fall,4.5,Excellent,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Mid Aged,Male,Skirt,Clothing,30,Low cost,Colorado,S,Black,Fall,4,Good,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,Senior Citizen,Male,Shoes,Footwear,64,Mid Cost,Idaho,M,Purple,Summer,3.5,Good,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
